27612;1990; -5.7;  0.4;  2.0;  8.1; 10.8; 14.5; 17.5; 16.0;  9.3;  5.3;  0.2; -3.4
27612;1991; -6.2; -6.7; -1.2;  7.0; 13.4; 18.8; 18.1; 16.1; 11.0;  6.5;  1.0; -4.0
27612;1992; -5.3; -4.3;  1.6;  5.1; 11.9; 16.7; 18.6; 18.0; 13.1;  2.2; -2.5; -4.4
27612;1993; -4.4; -4.9; -1.9;  5.7; 14.5; 14.0; 17.5; 15.4;  6.9;  4.6; -8.0; -3.6
27612;1994; -3.4;-11.3; -2.9;  7.2;  9.8; 14.5; 17.6; 15.9; 13.7;  5.0; -2.5; -7.9
27612;1995; -5.9; -0.8;  0.6;  9.1; 14.5; 19.7; 17.5; 16.8; 12.8;  6.7; -2.8; -9.5
27612;1996;-10.0; -9.7; -3.0;  6.4; 15.7; 16.5; 18.9; 17.3;  9.9;  6.0;  3.9; -7.0
27612;1997; -7.7; -4.7; -0.9;  4.6; 11.1; 17.9; 18.7; 17.1;  8.5;  3.7; -0.8; -7.5
27612;1998; -4.7; -7.6; -1.3;  3.9; 13.7; 20.0; 18.9; 15.5; 10.7;  5.6; -8.0; -5.9
27612;1999; -4.6; -6.2; -0.8;  9.7;  8.7; 21.4; 21.7; 16.4; 11.8;  7.4; -4.9; -1.7
27612;2000; -6.1; -2.7; -0.7; 11.1; 10.8; 16.2; 19.3; 16.7; 10.0;  7.2; -0.1; -2.6
27612;2001; -4.3; -7.2; -2.1; 11.0; 11.2; 16.3; 23.0; 17.0; 12.2;  4.8; -0.5;-10.6
27612;2002; -4.8; -0.4;  2.2;  7.2; 12.7; 17.3; 22.6; 17.0; 12.0;  2.6; -1.5;-12.6
27612;2003; -7.3; -8.6; -2.7;  4.7; 15.5; 12.8; 20.6; 16.9; 11.3;  5.6;  1.1; -2.1
27612;2004; -6.5; -7.0;  1.3;  4.6; 11.4; 15.3; 19.0; 18.4; 12.1;  5.9; -1.6; -2.9
27612;2005; -3.0; -8.9; -6.0;  7.1; 14.8; 16.5; 19.3; 17.6; 13.1;  6.0;  1.4; -4.1
27612;2006;-10.8;-13.3; -3.7;  6.0; 12.4; 18.2; 18.0; 17.5; 13.3;  7.0;  0.7;  1.2
27612;2007; -1.6;-11.0;  4.4;  5.8; 15.9; 17.4; 18.9; 20.2; 11.8;  7.0; -2.0; -2.0
27612;2008; -5.8; -1.5;  1.8;  9.4; 11.3; 15.6; 19.1; 17.5; 10.9;  8.9;  2.3; -1.8
27612;2009; -5.6; -5.4; -0.6;  5.1; 13.6; 17.3; 18.8; 15.6; 13.8;  5.8;  2.2; -6.5
27612;2010;-14.5; -8.4; -1.1;  8.3; 16.7; 18.8; 26.0; 21.8; 11.7;  3.8;  2.7; -7.6
27612;2011; -7.5;-11.0; -2.0;  6.4; 14.6; 19.0; 23.4; 18.7; 12.1;  6.6;  0.2; -0.1
27612;2012; -6.8;-11.7; -3.1;  8.2; 15.1; 17.1; 20.9; 17.7; 12.9;  6.5;  1.6; -8.6
27612;2013; -8.5; -3.5; -6.5;  6.1; 16.9; 19.8; 18.9; 18.3; 10.3;  6.6;  4.0; -1.7
27612;2014; -8.6; -1.9;  2.8;  7.0; 16.0; 16.1; 21.1; 19.2; 12.3;  3.7; -1.3; -3.9
27612;2015; -4.4; -2.2;  2.0;  6.1; 14.2; 17.9; 18.3; 17.6; 13.8;  4.4;  0.8;  0.2
27612;2016;-10.1; -0.6;  0.3;  8.1; 15.0; 18.2; 20.9; 19.5; 11.4;  4.4; -2.7; -4.6
27612;2017; -7.8; -4.6;  2.4;  5.3; 10.9; 14.4; 17.9; 18.8; 13.0;  5.0;  0.0;  0.0
27612;2018; -4.3; -9.1; -5.1;  7.8; 16.2; 17.3; 20.5; 19.8; 14.6;  7.3; -0.6; -5.6
27612;2019; -6.6; -1.4;  0.7;  8.1; 16.3; 19.6; 16.8; 16.4; 12.3;  8.8;  1.8;  0.8
